segment_path,emotion,actor,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,segment_i
data/processed/segments/03-01-01-01-01-01-01_seg1.wav,neutral,1,-134.42795,114.354576,-13.819464,31.798847,0.4791487,-10.455823,-13.727076,-29.941748,-19.479649,0.11051407,-13.512268,3.165472,-15.365469,4.048257,-10.765046,-9.342436,-6.5531435,-1.712917,-17.168621,-3.4224763,-6.8560586,-13.433893,-2.139507,-8.79982,-8.389408,-1.3307464,-4.9565077,-1.1557747,-9.918645,-4.2361593,-8.610739,-6.4226885,-5.922776,-0.5739026,-10.96416,-4.1706142,-10.705702,-3.176662,-5.164115,-7.521539,0
data/processed/segments/03-01-01-01-01-02-01_seg1.wav,neutral,1,-155.63342,104.489876,-9.153914,35.398403,-1.7801243,-9.343888,-14.313225,-29.996695,-15.997981,0.9265487,-12.392839,1.0517883,-16.181673,4.7134957,-11.894578,-7.1295304,-8.350557,-0.6451375,-15.67642,-4.5274506,-6.9365582,-14.581789,-1.0160859,-11.476271,-6.8888645,-0.22743815,-6.90629,-0.45567337,-10.438826,-2.9641526,-9.493251,-5.36803,-4.302158,-4.176596,-11.815678,-3.865436,-11.733858,-1.614314,-6.255428,-6.365721,0
data/processed/segments/03-01-01-01-02-01-01_seg1.wav,neutral,1,-156.0184,107.87068,-5.857292,28.316214,-5.3007307,-4.3805466,-17.69721,-27.712086,-21.200947,0.23963384,-12.03945,4.2053213,-15.931656,0.97295153,-6.783426,-13.555203,-3.9390862,1.8326031,-16.294308,-4.580281,-5.6070266,-10.975599,-1.9682143,-6.203761,-8.840029,-2.327662,-6.069434,-1.4536358,-8.074516,-3.6809132,-7.478643,-5.8250966,-6.2698617,-2.7738636,-11.052668,-5.1279917,-8.380754,-2.025996,-5.734953,-5.143731,0
data/processed/segments/03-01-01-01-02-02-01_seg1.wav,neutral,1,-167.95067,102.615906,-0.5561203,29.056,-0.87181014,-1.726908,-20.79818,-26.50353,-18.231176,1.1347482,-10.732768,-0.78389287,-15.475898,2.0992045,-6.5284796,-13.09727,-3.8690562,-0.5647016,-13.395835,-6.117806,-4.7089767,-10.659998,-4.283966,-8.196955,-8.634165,-2.9792209,-4.606047,-2.926391,-9.670184,-4.4494257,-9.084071,-5.0638833,-4.746058,-2.2232122,-9.668898,-7.2672706,-9.360465,-2.7587712,-6.1516113,-4.2473154,0
data/processed/segments/03-01-02-01-01-01-01_seg1.wav,calm,1,-145.90636,108.10453,0.7547919,29.923216,2.7229457,-5.4764147,-14.303701,-19.719933,-20.347515,1.8830613,-12.025671,3.238219,-13.98022,5.214016,-9.978081,-10.16494,-2.64877,-4.860873,-13.385283,-4.711994,-6.835071,-11.625083,-2.2470894,-9.325605,-5.775664,-2.105582,-5.7367125,-0.85430926,-7.215953,-1.4990476,-9.091024,-1.256609,-4.706852,-2.1989148,-8.121658,-6.4073052,-10.101206,-4.51542,-3.8661723,-1.8502584,0
data/processed/segments/03-01-02-01-01-02-01_seg1.wav,calm,1,-175.30057,118.96541,-2.8757741,25.608877,6.340143,-6.343017,-15.365437,-16.557257,-17.34106,3.3290608,-8.795078,0.6290532,-12.313829,1.5534661,-7.323575,-11.45583,-3.8477883,-2.7046485,-12.088485,-5.475089,-6.6578097,-11.639757,-3.4439204,-7.819837,-5.9483585,-3.0302534,-4.0083914,-2.7285657,-8.356581,-4.67043,-10.772771,-4.4648247,-4.0760508,-4.2042327,-9.281587,-7.8380766,-9.853697,-1.5786908,-5.0547743,-0.8669412,0
data/processed/segments/03-01-02-01-02-01-01_seg1.wav,calm,1,-150.5875,107.691055,-6.240452,24.854153,-2.0817046,-0.60220796,-13.684921,-19.892126,-18.919075,1.810079,-6.2754416,0.9928017,-13.606204,6.157078,-12.064653,-11.453483,-2.9177003,-2.968743,-14.726501,-4.2265244,-5.7488623,-9.252111,-4.020558,-7.8979964,-7.3349123,-2.3292134,-7.956531,-1.2427651,-9.328134,-2.188876,-11.817438,-5.85741,-6.7548285,-2.7294092,-10.764551,-6.947026,-8.550628,-3.3736897,-7.8293724,-2.1946254,0
data/processed/segments/03-01-02-01-02-02-01_seg1.wav,calm,1,-160.32706,116.44779,-7.9717584,26.92041,-0.6856629,-1.4796942,-17.147484,-20.850088,-18.27327,-0.23300965,-6.5870223,1.8460299,-13.526425,5.1613307,-9.393794,-12.149564,-3.5837858,-3.0474355,-15.833312,-6.471289,-5.552889,-8.985757,-3.948699,-7.1766396,-6.383917,-3.7560844,-6.074206,-3.5557077,-8.293258,-2.3457415,-9.158355,-6.136242,-5.660866,-2.7613735,-9.570643,-6.821776,-8.904347,-2.9845364,-6.7152085,-2.694743,0
data/processed/segments/03-01-02-02-01-01-01_seg1.wav,calm,1,-148.52855,115.85018,1.3626431,27.556887,3.828944,-5.5903997,-13.431986,-11.949899,-18.232517,2.4216673,-4.102531,-1.086927,-10.740552,2.4730365,-5.491588,-5.3784184,-6.6648455,4.786086,-16.206106,-0.5831215,-6.83706,-9.1884985,-2.8828337,-5.078405,-3.70773,-1.3633652,-6.081633,-1.8278135,-10.892465,-3.563767,-9.122966,-5.7496867,-2.642941,-5.2762604,-9.511046,-8.895225,-7.1845345,-3.6215234,-6.569737,-2.871262,0
data/processed/segments/03-01-02-02-01-02-01_seg1.wav,calm,1,-162.28314,105.93702,-2.5614848,23.268139,1.3591173,-3.6406622,-15.343307,-13.768395,-16.018772,3.733481,-5.6469154,-2.1094925,-11.3504715,2.1799324,-8.735844,-6.564497,-4.7679777,0.655815,-14.296322,-0.4441132,-5.330555,-9.139137,-4.077199,-7.1724606,-6.6619887,-1.8270218,-5.7567387,-3.7918782,-8.823113,-5.1211557,-9.57312,-6.6043057,-4.171555,-3.4322915,-8.468382,-7.035836,-8.247049,-3.9145837,-6.6473293,-4.107215,0
