modality,vocal_channel,emotion_code,emotion,intensity,statement,repetition,actor,file_path,filename
03,01,01,neutral,01,01,01,1,data/raw/ravdess/Actor_01/03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav
03,01,01,neutral,01,01,02,1,data/raw/ravdess/Actor_01/03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav
03,01,01,neutral,01,02,01,1,data/raw/ravdess/Actor_01/03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav
03,01,01,neutral,01,02,02,1,data/raw/ravdess/Actor_01/03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav
03,01,02,calm,01,01,01,1,data/raw/ravdess/Actor_01/03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav
03,01,02,calm,01,01,02,1,data/raw/ravdess/Actor_01/03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav
03,01,02,calm,01,02,01,1,data/raw/ravdess/Actor_01/03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav
03,01,02,calm,01,02,02,1,data/raw/ravdess/Actor_01/03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav
03,01,02,calm,02,01,01,1,data/raw/ravdess/Actor_01/03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav
03,01,02,calm,02,01,02,1,data/raw/ravdess/Actor_01/03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav
03,01,02,calm,02,02,01,1,data/raw/ravdess/Actor_01/03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01.wav
03,01,02,calm,02,02,02,1,data/raw/ravdess/Actor_01/03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01.wav
03,01,03,happy,01,01,01,1,data/raw/ravdess/Actor_01/03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01.wav
03,01,03,happy,01,01,02,1,data/raw/ravdess/Actor_01/03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav
03,01,03,happy,01,02,01,1,data/raw/ravdess/Actor_01/03-01-03-01-02-01-01.wav,03-01-03-01-02-01-01.wav
03,01,03,happy,01,02,02,1,data/raw/ravdess/Actor_01/03-01-03-01-02-02-01.wav,03-01-03-01-02-02-01.wav
03,01,03,happy,02,01,01,1,data/raw/ravdess/Actor_01/03-01-03-02-01-01-01.wav,03-01-03-02-01-01-01.wav
03,01,03,happy,02,01,02,1,data/raw/ravdess/Actor_01/03-01-03-02-01-02-01.wav,03-01-03-02-01-02-01.wav
03,01,03,happy,02,02,01,1,data/raw/ravdess/Actor_01/03-01-03-02-02-01-01.wav,03-01-03-02-02-01-01.wav
03,01,03,happy,02,02,02,1,data/raw/ravdess/Actor_01/03-01-03-02-02-02-01.wav,03-01-03-02-02-02-01.wav
03,01,04,sad,01,01,01,1,data/raw/ravdess/Actor_01/03-01-04-01-01-01-01.wav,03-01-04-01-01-01-01.wav
03,01,04,sad,01,01,02,1,data/raw/ravdess/Actor_01/03-01-04-01-01-02-01.wav,03-01-04-01-01-02-01.wav
03,01,04,sad,01,02,01,1,data/raw/ravdess/Actor_01/03-01-04-01-02-01-01.wav,03-01-04-01-02-01-01.wav
03,01,04,sad,01,02,02,1,data/raw/ravdess/Actor_01/03-01-04-01-02-02-01.wav,03-01-04-01-02-02-01.wav
03,01,04,sad,02,01,01,1,data/raw/ravdess/Actor_01/03-01-04-02-01-01-01.wav,03-01-04-02-01-01-01.wav
03,01,04,sad,02,01,02,1,data/raw/ravdess/Actor_01/03-01-04-02-01-02-01.wav,03-01-04-02-01-02-01.wav
03,01,04,sad,02,02,01,1,data/raw/ravdess/Actor_01/03-01-04-02-02-01-01.wav,03-01-04-02-02-01-01.wav
03,01,04,sad,02,02,02,1,data/raw/ravdess/Actor_01/03-01-04-02-02-02-01.wav,03-01-04-02-02-02-01.wav
03,01,05,angry,01,01,01,1,data/raw/ravdess/Actor_01/03-01-05-01-01-01-01.wav,03-01-05-01-01-01-01.wav
03,01,05,angry,01,01,02,1,data/raw/ravdess/Actor_01/03-01-05-01-01-02-01.wav,03-01-05-01-01-02-01.wav
03,01,05,angry,01,02,01,1,data/raw/ravdess/Actor_01/03-01-05-01-02-01-01.wav,03-01-05-01-02-01-01.wav
03,01,05,angry,01,02,02,1,data/raw/ravdess/Actor_01/03-01-05-01-02-02-01.wav,03-01-05-01-02-02-01.wav
03,01,05,angry,02,01,01,1,data/raw/ravdess/Actor_01/03-01-05-02-01-01-01.wav,03-01-05-02-01-01-01.wav
03,01,05,angry,02,01,02,1,data/raw/ravdess/Actor_01/03-01-05-02-01-02-01.wav,03-01-05-02-01-02-01.wav
03,01,05,angry,02,02,01,1,data/raw/ravdess/Actor_01/03-01-05-02-02-01-01.wav,03-01-05-02-02-01-01.wav
03,01,05,angry,02,02,02,1,data/raw/ravdess/Actor_01/03-01-05-02-02-02-01.wav,03-01-05-02-02-02-01.wav
03,01,06,fearful,01,01,01,1,data/raw/ravdess/Actor_01/03-01-06-01-01-01-01.wav,03-01-06-01-01-01-01.wav
03,01,06,fearful,01,01,02,1,data/raw/ravdess/Actor_01/03-01-06-01-01-02-01.wav,03-01-06-01-01-02-01.wav
03,01,06,fearful,01,02,01,1,data/raw/ravdess/Actor_01/03-01-06-01-02-01-01.wav,03-01-06-01-02-01-01.wav
03,01,06,fearful,01,02,02,1,data/raw/ravdess/Actor_01/03-01-06-01-02-02-01.wav,03-01-06-01-02-02-01.wav
03,01,06,fearful,02,01,01,1,data/raw/ravdess/Actor_01/03-01-06-02-01-01-01.wav,03-01-06-02-01-01-01.wav
03,01,06,fearful,02,01,02,1,data/raw/ravdess/Actor_01/03-01-06-02-01-02-01.wav,03-01-06-02-01-02-01.wav
03,01,06,fearful,02,02,01,1,data/raw/ravdess/Actor_01/03-01-06-02-02-01-01.wav,03-01-06-02-02-01-01.wav
03,01,06,fearful,02,02,02,1,data/raw/ravdess/Actor_01/03-01-06-02-02-02-01.wav,03-01-06-02-02-02-01.wav
03,01,07,disgust,01,01,01,1,data/raw/ravdess/Actor_01/03-01-07-01-01-01-01.wav,03-01-07-01-01-01-01.wav
03,01,07,disgust,01,01,02,1,data/raw/ravdess/Actor_01/03-01-07-01-01-02-01.wav,03-01-07-01-01-02-01.wav
03,01,07,disgust,01,02,01,1,data/raw/ravdess/Actor_01/03-01-07-01-02-01-01.wav,03-01-07-01-02-01-01.wav
03,01,07,disgust,01,02,02,1,data/raw/ravdess/Actor_01/03-01-07-01-02-02-01.wav,03-01-07-01-02-02-01.wav
03,01,07,disgust,02,01,01,1,data/raw/ravdess/Actor_01/03-01-07-02-01-01-01.wav,03-01-07-02-01-01-01.wav
03,01,07,disgust,02,01,02,1,data/raw/ravdess/Actor_01/03-01-07-02-01-02-01.wav,03-01-07-02-01-02-01.wav
03,01,07,disgust,02,02,01,1,data/raw/ravdess/Actor_01/03-01-07-02-02-01-01.wav,03-01-07-02-02-01-01.wav
